x,y
0,0
0.1,0.198669331
0.2,0.389418342
0.3,0.564642473
0.4,0.717356091
0.5,0.841470985
0.6,0.932039086
0.7,0.98544973
0.8,0.999573603
0.9,0.973847631
1,0.909297427
1.1,0.808496404
1.2,0.675463181
1.3,0.515501372
1.4,0.33498815
1.5,0.141120008
1.6,-0.058374143
1.7,-0.255541102
1.8,-0.442520443
1.9,-0.611857891
2,-0.756802495
2.1,-0.871575772
2.2,-0.951602074
2.3,-0.993691004
2.4,-0.996164609
2.5,-0.958924275
2.6,-0.883454656
2.7,-0.772764488
2.8,-0.631266638
2.9,-0.464602179
3,-0.279415498
3.1,-0.083089403
3.2,0.116549205
3.3,0.311541364
3.4,0.494113351
3.5,0.656986599
3.6,0.793667864
3.7,0.898708096
3.8,0.967919672
3.9,0.998543345
4,0.989358247
4.1,0.940730557
4.2,0.854598908
4.3,0.734397098
4.4,0.584917193
4.5,0.412118485
4.6,0.222889914
4.7,0.024775425
4.8,-0.174326781
4.9,-0.366479129
5,-0.544021111
5.1,-0.699874688
5.2,-0.827826469
5.3,-0.922775422
5.4,-0.98093623
5.5,-0.999990207
5.6,-0.979177729
5.7,-0.919328526
5.8,-0.822828595
5.9,-0.693525085
6,-0.536572918
6.1,-0.358229282
6.2,-0.165604175
6.3,0.033623047
6.4,0.231509825
6.5,0.420167037
6.6,0.592073515
6.7,0.74037589
6.8,0.859161815
6.9,0.943695669
7,0.990607356
7.1,0.998026653
7.2,0.965657777
7.3,0.894791172
7.4,0.788252067
7.5,0.65028784
7.6,0.486398689
7.7,0.303118357
7.8,0.107753652
7.9,-0.09190685
8,-0.287903317
8.1,-0.472421986
8.2,-0.638106682
8.3,-0.778352079
8.4,-0.887567034
8.5,-0.961397492
8.6,-0.996900066
8.7,-0.99265938
8.8,-0.948844498
8.9,-0.867202179
9,-0.750987247
9.1,-0.604832822
9.2,-0.434565622
9.3,-0.246973662
9.4,-0.049535641
9.5,0.14987721
9.6,0.343314929
9.7,0.523065765
9.8,0.68196362
9.9,0.813673738
10,0.912945251
